,F,R,S,V
217349,7.0,freshbasilstrattoria,0.0,1.0
222126,7.0,freshbasilstrattoria,2.0,1.0
217352,7.0,freshtortillaexpress,0.0,1.0
222127,7.0,freshtortillaexpress,2.0,1.0
217356,7.0,freshtortillas,0.0,1.0
224790,7.0,freshtortillas,3.0,1.0
229795,7.0,freshtortillas,4.0,1.0
234507,7.0,freshtortillas,11.0,1.0
217358,7.0,frieddumpling,0.0,1.0
222130,7.0,frieddumpling,2.0,1.0
243798,7.0,frieddumpling,1.0,1.0
93974,3.0,friedmansdelicatessen,0.0,0.0
144065,4.0,friedmansdelicatessen,5.0,0.0
241668,7.0,friedmansdelicatessen,7.0,1.0
243800,7.0,friedmansdelicatessen,1.0,1.0
217360,7.0,friendhouse,0.0,1.0
222131,7.0,friendhouse,2.0,1.0
236727,7.0,friendhouse,5.0,1.0
240136,7.0,friendhouse,6.0,1.0
243801,7.0,friendhouse,1.0,1.0
217362,7.0,friendofafarmer,0.0,1.0
222133,7.0,friendofafarmer,2.0,1.0
224794,7.0,friendofafarmer,3.0,1.0
229799,7.0,friendofafarmer,4.0,1.0
236729,7.0,friendofafarmer,5.0,1.0
238920,7.0,friendofafarmer,8.0,1.0
243802,7.0,friendofafarmer,1.0,1.0
217364,7.0,frog,0.0,1.0
222108,7.0,frog,2.0,1.0
229760,7.0,frog,4.0,1.0
233440,7.0,frog,9.0,1.0
236731,7.0,frog,5.0,0.0
238907,7.0,frog,8.0,1.0
217376,7.0,fukumatsu,0.0,1.0
243806,7.0,fukumatsu,1.0,1.0
217377,7.0,fuleenseafood,0.0,1.0
236733,7.0,fuleenseafood,5.0,1.0
243807,7.0,fuleenseafood,1.0,1.0
217378,7.0,fulton,0.0,1.0
234508,7.0,fulton,11.0,1.0
235250,7.0,fulton,10.0,1.0
236734,7.0,fulton,5.0,1.0
240138,7.0,fulton,6.0,1.0
217380,7.0,funayama,0.0,1.0
222136,7.0,funayama,2.0,1.0
236735,7.0,funayama,5.0,1.0
240139,7.0,funayama,6.0,1.0
243810,7.0,funayama,1.0,1.0
217381,7.0,fushouse,0.0,1.0
229821,7.0,fushouse,4.0,1.0
217384,7.0,fusia,0.0,1.0
236736,7.0,fusia,5.0,1.0
217385,7.0,fusiaasiancuisine,0.0,1.0
243814,7.0,fusiaasiancuisine,1.0,1.0
217389,7.0,gaam,0.0,0.0
222137,7.0,gaam,2.0,1.0
236737,7.0,gaam,5.0,0.0
217391,7.0,gabrielas,0.0,1.0
224802,7.0,gabrielas,3.0,1.0
233447,7.0,gabrielas,9.0,1.0
234511,7.0,gabrielas,11.0,1.0
235252,7.0,gabrielas,10.0,1.0
238922,7.0,gabrielas,8.0,1.0
240141,7.0,gabrielas,6.0,1.0
243815,7.0,gabrielas,1.0,1.0
217392,7.0,gabriels,0.0,1.0
243816,7.0,gabriels,1.0,1.0
217393,7.0,gaby,0.0,1.0
224804,7.0,gaby,3.0,1.0
236740,7.0,gaby,5.0,1.0
217394,7.0,gaetanas,0.0,1.0
222140,7.0,gaetanas,2.0,1.0
217395,7.0,gahmmioak,0.0,1.0
222141,7.0,gahmmioak,2.0,1.0
243817,7.0,gahmmioak,1.0,1.0
217397,7.0,galanga,0.0,1.0
222142,7.0,galanga,2.0,1.0
236741,7.0,galanga,5.0,1.0
240144,7.0,galanga,6.0,1.0
241670,7.0,galanga,7.0,1.0
243819,7.0,galanga,1.0,1.0
217399,7.0,galaxy,0.0,1.0
224805,7.0,galaxy,3.0,1.0
217400,7.0,galaxycafe,0.0,0.0
224807,7.0,galaxycafe,3.0,1.0
229832,7.0,galaxycafe,4.0,1.0
217402,7.0,galaxyglobaleatery,0.0,1.0
236742,7.0,galaxyglobaleatery,5.0,1.0
168057,5.0,gallagherssteakhouse,4.0,0.0
217405,7.0,gallagherssteakhouse,0.0,1.0
222143,7.0,gallagherssteakhouse,2.0,1.0
224811,7.0,gallagherssteakhouse,3.0,1.0
233450,7.0,gallagherssteakhouse,9.0,1.0
235254,7.0,gallagherssteakhouse,10.0,1.0
236743,7.0,gallagherssteakhouse,5.0,1.0
240145,7.0,gallagherssteakhouse,6.0,1.0
217407,7.0,gallonero,0.0,1.0
233451,7.0,gallonero,9.0,1.0
235255,7.0,gallonero,10.0,1.0
236744,7.0,gallonero,5.0,1.0
240146,7.0,gallonero,6.0,1.0
217411,7.0,gandhi,0.0,1.0
222146,7.0,gandhi,2.0,1.0
243821,7.0,gandhi,1.0,1.0
217413,7.0,gardencafe,0.0,1.0
224815,7.0,gardencafe,3.0,1.0
229847,7.0,gardencafe,4.0,1.0
217415,7.0,gardencourtcafe,0.0,1.0
240147,7.0,gardencourtcafe,6.0,1.0
217420,7.0,gari,0.0,1.0
222149,7.0,gari,2.0,1.0
224819,7.0,gari,3.0,1.0
233454,7.0,gari,9.0,1.0
234514,7.0,gari,11.0,1.0
235257,7.0,gari,10.0,1.0
236745,7.0,gari,5.0,1.0
238927,7.0,gari,8.0,1.0
240148,7.0,gari,6.0,1.0
243823,7.0,gari,1.0,1.0
217421,7.0,gascogne,0.0,1.0
222150,7.0,gascogne,2.0,1.0
224822,7.0,gascogne,3.0,1.0
236746,7.0,gascogne,5.0,1.0
238928,7.0,gascogne,8.0,1.0
240149,7.0,gascogne,6.0,1.0
243826,7.0,gascogne,1.0,1.0
217422,7.0,gatehouse,0.0,1.0
222151,7.0,gatehouse,2.0,1.0
243827,7.0,gatehouse,1.0,1.0
217424,7.0,gauchasempanadas,0.0,1.0
222152,7.0,gauchasempanadas,2.0,1.0
243828,7.0,gauchasempanadas,1.0,1.0
217425,7.0,gavroche,0.0,1.0
222153,7.0,gavroche,2.0,1.0
224823,7.0,gavroche,3.0,1.0
236748,7.0,gavroche,5.0,1.0
238930,7.0,gavroche,8.0,1.0
240150,7.0,gavroche,6.0,1.0
241676,7.0,gavroche,7.0,1.0
217429,7.0,geisha,0.0,1.0
222154,7.0,geisha,2.0,1.0
224826,7.0,geisha,3.0,1.0
235258,7.0,geisha,10.0,1.0
236750,7.0,geisha,5.0,1.0
238931,7.0,geisha,8.0,1.0
240152,7.0,geisha,6.0,1.0
243829,7.0,geisha,1.0,1.0
217430,7.0,geminidiner,0.0,1.0
222155,7.0,geminidiner,2.0,1.0
217431,7.0,gemma,0.0,1.0
222156,7.0,gemma,2.0,1.0
236751,7.0,gemma,5.0,1.0
240153,7.0,gemma,6.0,1.0
241677,7.0,gemma,7.0,1.0
217432,7.0,genasgrill,0.0,1.0
222157,7.0,genasgrill,2.0,1.0
243830,7.0,genasgrill,1.0,1.0
217433,7.0,genescoffeeshop,0.0,1.0
224829,7.0,genescoffeeshop,3.0,1.0
229859,7.0,genescoffeeshop,4.0,1.0
217435,7.0,genesis,0.0,1.0
222160,7.0,genesis,2.0,1.0
217437,7.0,gennaro,0.0,1.0
222161,7.0,gennaro,2.0,1.0
224831,7.0,gennaro,3.0,1.0
236754,7.0,gennaro,5.0,1.0
238932,7.0,gennaro,8.0,1.0
240155,7.0,gennaro,6.0,1.0
243831,7.0,gennaro,1.0,1.0
217438,7.0,gente,0.0,1.0
229864,7.0,gente,4.0,1.0
233456,7.0,gente,9.0,1.0
234518,7.0,gente,11.0,1.0
235259,7.0,gente,10.0,1.0
243832,7.0,gente,1.0,1.0
217439,7.0,georges,0.0,1.0
222162,7.0,georges,2.0,1.0
217443,7.0,georgiaseastsidebbq,0.0,1.0
222163,7.0,georgiaseastsidebbq,2.0,1.0
236756,7.0,georgiaseastsidebbq,5.0,1.0
240156,7.0,georgiaseastsidebbq,6.0,1.0
217445,7.0,georgioscountrygrill,0.0,1.0
222164,7.0,georgioscountrygrill,2.0,1.0
243835,7.0,georgioscountrygrill,1.0,1.0
217448,7.0,ghandicafe,0.0,1.0
222165,7.0,ghandicafe,2.0,1.0
224833,7.0,ghandicafe,3.0,1.0
243836,7.0,ghandicafe,1.0,1.0
217449,7.0,ghenet,0.0,1.0
222166,7.0,ghenet,2.0,1.0
224834,7.0,ghenet,3.0,1.0
236757,7.0,ghenet,5.0,1.0
241679,7.0,ghenet,7.0,1.0
243837,7.0,ghenet,1.0,1.0
217450,7.0,giambelli,0.0,1.0
224836,7.0,giambelli,3.0,1.0
243838,7.0,giambelli,1.0,1.0
217451,7.0,giano,0.0,1.0
222168,7.0,giano,2.0,1.0
236758,7.0,giano,5.0,1.0
240158,7.0,giano,6.0,1.0
217452,7.0,giardinodoro,0.0,1.0
236759,7.0,giardinodoro,5.0,1.0
217453,7.0,gigicafegrill,0.0,1.0
236760,7.0,gigicafegrill,5.0,1.0
217454,7.0,giginotrattoria,0.0,1.0
222170,7.0,giginotrattoria,2.0,1.0
236762,7.0,giginotrattoria,5.0,1.0
241681,7.0,giginotrattoria,7.0,1.0
243841,7.0,giginotrattoria,1.0,1.0
217456,7.0,gilt,0.0,1.0
222171,7.0,gilt,2.0,1.0
224840,7.0,gilt,3.0,1.0
233457,7.0,gilt,9.0,1.0
235260,7.0,gilt,10.0,1.0
236764,7.0,gilt,5.0,1.0
240159,7.0,gilt,6.0,1.0
243843,7.0,gilt,1.0,1.0
217457,7.0,gimmecoffee,0.0,1.0
236765,7.0,gimmecoffee,5.0,1.0
217458,7.0,ginmill,0.0,1.0
229877,7.0,ginmill,4.0,1.0
217461,7.0,ginger,0.0,1.0
222172,7.0,ginger,2.0,1.0
224842,7.0,ginger,3.0,1.0
236767,7.0,ginger,5.0,0.0
238934,7.0,ginger,8.0,1.0
243847,7.0,ginger,1.0,1.0
217462,7.0,gingerhouse,0.0,1.0
224843,7.0,gingerhouse,3.0,1.0
243848,7.0,gingerhouse,1.0,1.0
217463,7.0,gingers,0.0,1.0
241682,7.0,gingers,7.0,1.0
217468,7.0,ginzajapaneserestaurant,0.0,1.0
243851,7.0,ginzajapaneserestaurant,1.0,1.0
217469,7.0,giorgione,0.0,1.0
222174,7.0,giorgione,2.0,1.0
224847,7.0,giorgione,3.0,1.0
233458,7.0,giorgione,9.0,1.0
235261,7.0,giorgione,10.0,1.0
236770,7.0,giorgione,5.0,1.0
240161,7.0,giorgione,6.0,1.0
241683,7.0,giorgione,7.0,1.0
243852,7.0,giorgione,1.0,1.0
217470,7.0,giorgiosofgramercy,0.0,1.0
222176,7.0,giorgiosofgramercy,2.0,1.0
229887,7.0,giorgiosofgramercy,4.0,1.0
233460,7.0,giorgiosofgramercy,9.0,1.0
235262,7.0,giorgiosofgramercy,10.0,1.0
236769,7.0,giorgiosofgramercy,5.0,1.0
217474,7.0,giovanni,0.0,1.0
222177,7.0,giovanni,2.0,1.0
224849,7.0,giovanni,3.0,1.0
217476,7.0,giovannisatrium,0.0,1.0
224851,7.0,giovannisatrium,3.0,1.0
229891,7.0,giovannisatrium,4.0,1.0
217477,7.0,girasole,0.0,1.0
222179,7.0,girasole,2.0,1.0
224852,7.0,girasole,3.0,1.0
236772,7.0,girasole,5.0,1.0
240162,7.0,girasole,6.0,1.0
243855,7.0,girasole,1.0,1.0
217481,7.0,go,0.0,1.0
241685,7.0,go,7.0,1.0
243859,7.0,go,1.0,1.0
217482,7.0,gogocurry,0.0,1.0
222181,7.0,gogocurry,2.0,1.0
236777,7.0,gogocurry,5.0,1.0
241686,7.0,gogocurry,7.0,1.0
217483,7.0,gonoodle,0.0,1.0
243860,7.0,gonoodle,1.0,1.0
217486,7.0,gosushi,0.0,0.0
243865,7.0,gosushi,1.0,1.0
217488,7.0,gobo,0.0,1.0
222183,7.0,gobo,2.0,1.0
224854,7.0,gobo,3.0,1.0
236776,7.0,gobo,5.0,1.0
238936,7.0,gobo,8.0,1.0
240165,7.0,gobo,6.0,1.0
241687,7.0,gobo,7.0,1.0
243868,7.0,gobo,1.0,1.0
217489,7.0,goldst,0.0,1.0
222184,7.0,goldst,2.0,1.0
236778,7.0,goldst,5.0,1.0
243871,7.0,goldst,1.0,1.0
217492,7.0,goldenchickenribs,0.0,1.0
229908,7.0,goldenchickenribs,4.0,1.0
217499,7.0,goldengarden,0.0,1.0
224858,7.0,goldengarden,3.0,1.0
229917,7.0,goldengarden,4.0,1.0
217503,7.0,goldenkrust,0.0,1.0
241696,7.0,goldenkrust,7.0,1.0
217505,7.0,goldenunicorn,0.0,1.0
224859,7.0,goldenunicorn,3.0,1.0
238937,7.0,goldenunicorn,8.0,1.0
241697,7.0,goldenunicorn,7.0,1.0
243873,7.0,goldenunicorn,1.0,1.0
217506,7.0,goldenwok,0.0,1.0
224860,7.0,goldenwok,3.0,1.0
229925,7.0,goldenwok,4.0,1.0
217507,7.0,gonzalezygonzalez,0.0,1.0
222188,7.0,gonzalezygonzalez,2.0,1.0
224861,7.0,gonzalezygonzalez,3.0,1.0
238938,7.0,gonzalezygonzalez,8.0,1.0
217508,7.0,gonzo,0.0,1.0
222189,7.0,gonzo,2.0,1.0
224862,7.0,gonzo,3.0,1.0
233464,7.0,gonzo,9.0,1.0
235266,7.0,gonzo,10.0,1.0
236781,7.0,gonzo,5.0,1.0
240166,7.0,gonzo,6.0,1.0
241698,7.0,gonzo,7.0,1.0
243874,7.0,gonzo,1.0,1.0
217510,7.0,good,0.0,1.0
222190,7.0,good,2.0,1.0
236782,7.0,good,5.0,1.0
238939,7.0,good,8.0,1.0
240167,7.0,good,6.0,1.0
243875,7.0,good,1.0,1.0
217511,7.0,goodplentytogo,0.0,1.0
243876,7.0,goodplentytogo,1.0,1.0
217514,7.0,goodenoughtoeat,0.0,1.0
222193,7.0,goodenoughtoeat,2.0,1.0
224864,7.0,goodenoughtoeat,3.0,1.0
229928,7.0,goodenoughtoeat,4.0,1.0
236783,7.0,goodenoughtoeat,5.0,1.0
238940,7.0,goodenoughtoeat,8.0,1.0
240168,7.0,goodenoughtoeat,6.0,1.0
241700,7.0,goodenoughtoeat,7.0,1.0
243877,7.0,goodenoughtoeat,1.0,1.0
217515,7.0,goodhealth,0.0,1.0
222194,7.0,goodhealth,2.0,1.0
217517,7.0,goodstuffdiner,0.0,1.0
236784,7.0,goodstuffdiner,5.0,1.0
217519,7.0,goodtaste,0.0,1.0
229936,7.0,goodtaste,4.0,1.0
217521,7.0,goodworldbargrill,0.0,1.0
241701,7.0,goodworldbargrill,7.0,1.0
243878,7.0,goodworldbargrill,1.0,1.0
217524,7.0,goodburger,0.0,1.0
222192,7.0,goodburger,2.0,1.0
224867,7.0,goodburger,3.0,1.0
236787,7.0,goodburger,5.0,1.0
240170,7.0,goodburger,6.0,1.0
241699,7.0,goodburger,7.0,1.0
243881,7.0,goodburger,1.0,1.0
217527,7.0,gordonramsayatthelondon,0.0,1.0
222196,7.0,gordonramsayatthelondon,2.0,1.0
224869,7.0,gordonramsayatthelondon,3.0,1.0
236789,7.0,gordonramsayatthelondon,5.0,1.0
240171,7.0,gordonramsayatthelondon,6.0,1.0
75900,2.0,gothambargrill,4.0,0.0
87377,2.0,gothambargrill,7.0,0.0
217529,7.0,gothambargrill,0.0,1.0
224870,7.0,gothambargrill,3.0,1.0
238942,7.0,gothambargrill,8.0,1.0
243884,7.0,gothambargrill,1.0,1.0
124900,4.0,grace,0.0,0.0
222199,7.0,grace,2.0,1.0
224873,7.0,grace,3.0,1.0
243889,7.0,grace,1.0,1.0
217537,7.0,gracefully,0.0,1.0
243890,7.0,gracefully,1.0,1.0
217538,7.0,gracestrattoria,0.0,1.0
222200,7.0,gracestrattoria,2.0,1.0
224874,7.0,gracestrattoria,3.0,1.0
236795,7.0,gracestrattoria,5.0,1.0
240174,7.0,gracestrattoria,6.0,1.0
217541,7.0,gradisca,0.0,1.0
222201,7.0,gradisca,2.0,1.0
224877,7.0,gradisca,3.0,1.0
236796,7.0,gradisca,5.0,1.0
240175,7.0,gradisca,6.0,1.0
243894,7.0,gradisca,1.0,1.0
217542,7.0,graffiti,0.0,1.0
222202,7.0,graffiti,2.0,1.0
236797,7.0,graffiti,5.0,1.0
240176,7.0,graffiti,6.0,1.0
243895,7.0,graffiti,1.0,1.0
217544,7.0,gramercyrestaurant,0.0,1.0
224878,7.0,gramercyrestaurant,3.0,1.0
229951,7.0,gramercyrestaurant,4.0,1.0
217545,7.0,gramercytavern,0.0,1.0
222203,7.0,gramercytavern,2.0,1.0
224879,7.0,gramercytavern,3.0,1.0
233467,7.0,gramercytavern,9.0,1.0
234528,7.0,gramercytavern,11.0,1.0
235269,7.0,gramercytavern,10.0,1.0
236798,7.0,gramercytavern,5.0,1.0
238944,7.0,gramercytavern,8.0,1.0
217547,7.0,grandcentraloysterbar,0.0,1.0
233469,7.0,grandcentraloysterbar,9.0,1.0
234529,7.0,grandcentraloysterbar,11.0,1.0
235271,7.0,grandcentraloysterbar,10.0,1.0
240177,7.0,grandcentraloysterbar,6.0,1.0
217548,7.0,grandeastern,0.0,1.0
243902,7.0,grandeastern,1.0,1.0
217550,7.0,grandsichuan,0.0,1.0
222207,7.0,grandsichuan,2.0,1.0
224881,7.0,grandsichuan,3.0,1.0
236802,7.0,grandsichuan,5.0,1.0
240178,7.0,grandsichuan,6.0,1.0
241706,7.0,grandsichuan,7.0,1.0
243906,7.0,grandsichuan,1.0,1.0
217551,7.0,grandsichuaneastern,0.0,1.0
224882,7.0,grandsichuaneastern,3.0,1.0
217552,7.0,grandsichuaninternational,0.0,1.0
222209,7.0,grandsichuaninternational,2.0,1.0
224883,7.0,grandsichuaninternational,3.0,1.0
217553,7.0,grandsichuanny,0.0,1.0
222210,7.0,grandsichuanny,2.0,1.0
217554,7.0,grandsichuanstmarks,0.0,1.0
224884,7.0,grandsichuanstmarks,3.0,1.0
217559,7.0,grandaisybakery,0.0,1.0
236805,7.0,grandaisybakery,5.0,1.0
243912,7.0,grandaisybakery,1.0,1.0
217561,7.0,granotrattoria,0.0,1.0
222211,7.0,granotrattoria,2.0,1.0
224885,7.0,granotrattoria,3.0,1.0
229960,7.0,granotrattoria,4.0,1.0
236806,7.0,granotrattoria,5.0,1.0
240180,7.0,granotrattoria,6.0,1.0
217562,7.0,grapeandgrain,0.0,1.0
222212,7.0,grapeandgrain,2.0,1.0
217565,7.0,grayspapaya,0.0,1.0
224888,7.0,grayspapaya,3.0,1.0
229963,7.0,grayspapaya,4.0,1.0
234531,7.0,grayspapaya,11.0,1.0
236809,7.0,grayspapaya,5.0,1.0
238947,7.0,grayspapaya,8.0,1.0
243916,7.0,grayspapaya,1.0,1.0
6805,0.0,grayz,2.0,0.0
32633,1.0,grayz,0.0,0.0
234532,7.0,grayz,11.0,1.0
236810,7.0,grayz,5.0,1.0
243918,7.0,grayz,1.0,1.0
217566,7.0,greatamericanhealthbar,0.0,1.0
224890,7.0,greatamericanhealthbar,3.0,1.0
229965,7.0,greatamericanhealthbar,4.0,1.0
243919,7.0,greatamericanhealthbar,1.0,1.0
217567,7.0,greatburrito,0.0,1.0
222213,7.0,greatburrito,2.0,1.0
224891,7.0,greatburrito,3.0,1.0
217569,7.0,greatjonescafe,0.0,1.0
222214,7.0,greatjonescafe,2.0,1.0
224893,7.0,greatjonescafe,3.0,1.0
236811,7.0,greatjonescafe,5.0,1.0
238948,7.0,greatjonescafe,8.0,1.0
217570,7.0,greatnynoodletown,0.0,1.0
222215,7.0,greatnynoodletown,2.0,1.0
238949,7.0,greatnynoodletown,8.0,1.0
241709,7.0,greatnynoodletown,7.0,1.0
243920,7.0,greatnynoodletown,1.0,1.0
217575,7.0,greatwall,0.0,1.0
229972,7.0,greatwall,4.0,1.0
217583,7.0,greenkitchen,0.0,1.0
243921,7.0,greenkitchen,1.0,1.0
217584,7.0,greenpea,0.0,1.0
243923,7.0,greenpea,1.0,1.0
217585,7.0,greensymphony,0.0,1.0
236813,7.0,greensymphony,5.0,1.0
243924,7.0,greensymphony,1.0,1.0
217590,7.0,greenwichtreehouse,0.0,1.0
243926,7.0,greenwichtreehouse,1.0,1.0
217591,7.0,greenwichvillagebistro,0.0,1.0
236816,7.0,greenwichvillagebistro,5.0,1.0
243927,7.0,greenwichvillagebistro,1.0,1.0
217593,7.0,greydogcoffee,0.0,1.0
222219,7.0,greydogcoffee,2.0,1.0
217594,7.0,griffsgelati,0.0,1.0
236818,7.0,griffsgelati,5.0,1.0
217598,7.0,grom,0.0,1.0
222224,7.0,grom,2.0,1.0
236820,7.0,grom,5.0,1.0
240181,7.0,grom,6.0,1.0
243934,7.0,grom,1.0,1.0
217599,7.0,grottaazzurra,0.0,1.0
222225,7.0,grottaazzurra,2.0,1.0
243935,7.0,grottaazzurra,1.0,1.0
217600,7.0,guadalupe,0.0,1.0
236823,7.0,guadalupe,5.0,1.0
217601,7.0,guantanamera,0.0,1.0
222227,7.0,guantanamera,2.0,1.0
233472,7.0,guantanamera,9.0,1.0
234534,7.0,guantanamera,11.0,1.0
235274,7.0,guantanamera,10.0,1.0
236824,7.0,guantanamera,5.0,1.0
240183,7.0,guantanamera,6.0,1.0
217603,7.0,guosgarden,0.0,1.0
230002,7.0,guosgarden,4.0,1.0
217604,7.0,gusplace,0.0,1.0
230004,7.0,gusplace,4.0,1.0
236825,7.0,gusplace,5.0,1.0
243937,7.0,gusplace,1.0,1.0
217605,7.0,gustoristoranteebaramericano,0.0,1.0
222231,7.0,gustoristoranteebaramericano,2.0,1.0
224906,7.0,gustoristoranteebaramericano,3.0,1.0
233473,7.0,gustoristoranteebaramericano,9.0,1.0
234535,7.0,gustoristoranteebaramericano,11.0,1.0
235275,7.0,gustoristoranteebaramericano,10.0,1.0
236827,7.0,gustoristoranteebaramericano,5.0,1.0
240184,7.0,gustoristoranteebaramericano,6.0,1.0
217606,7.0,gustovamare,0.0,1.0
243941,7.0,gustovamare,1.0,1.0
217607,7.0,gustorganics,0.0,1.0
240185,7.0,gustorganics,6.0,1.0
217614,7.0,gyroii,0.0,1.0
230009,7.0,gyroii,4.0,1.0
217616,7.0,gyukaku,0.0,1.0
222233,7.0,gyukaku,2.0,1.0
234537,7.0,gyukaku,11.0,1.0
236829,7.0,gyukaku,5.0,1.0
238954,7.0,gyukaku,8.0,1.0
240187,7.0,gyukaku,6.0,1.0
241711,7.0,gyukaku,7.0,1.0
243946,7.0,gyukaku,1.0,1.0
217618,7.0,hhbagels,0.0,1.0
243948,7.0,hhbagels,1.0,1.0
217621,7.0,haciendadeargentina,0.0,1.0
222234,7.0,haciendadeargentina,2.0,1.0
224907,7.0,haciendadeargentina,3.0,1.0
236831,7.0,haciendadeargentina,5.0,1.0
240188,7.0,haciendadeargentina,6.0,1.0
241714,7.0,haciendadeargentina,7.0,1.0
202551,6.0,hakatagrill,9.0,0.0
217622,7.0,hakatagrill,0.0,1.0
222235,7.0,hakatagrill,2.0,1.0
224909,7.0,hakatagrill,3.0,1.0
230016,7.0,hakatagrill,4.0,1.0
234538,7.0,hakatagrill,11.0,1.0
243957,7.0,hakatagrill,1.0,1.0
217623,7.0,hakatatonton,0.0,1.0
233476,7.0,hakatatonton,9.0,1.0
235278,7.0,hakatatonton,10.0,1.0
236832,7.0,hakatatonton,5.0,1.0
240189,7.0,hakatatonton,6.0,1.0
241716,7.0,hakatatonton,7.0,1.0
217624,7.0,haku,0.0,1.0
236833,7.0,haku,5.0,1.0
217625,7.0,hakubai,0.0,1.0
222237,7.0,hakubai,2.0,1.0
236835,7.0,hakubai,5.0,1.0
217644,7.0,haleandheartysoups,0.0,1.0
243970,7.0,haleandheartysoups,1.0,1.0
217646,7.0,halloberlin,0.0,1.0
222240,7.0,halloberlin,2.0,1.0
224912,7.0,halloberlin,3.0,1.0
230021,7.0,halloberlin,4.0,1.0
236837,7.0,halloberlin,5.0,1.0
238956,7.0,halloberlin,8.0,1.0
240190,7.0,halloberlin,6.0,1.0
243971,7.0,halloberlin,1.0,1.0
217647,7.0,halloberlinexpress,0.0,1.0
236838,7.0,halloberlinexpress,5.0,1.0
217648,7.0,hamachi,0.0,1.0
224913,7.0,hamachi,3.0,1.0
217651,7.0,hamptonchutneyco,0.0,1.0
222242,7.0,hamptonchutneyco,2.0,1.0
236840,7.0,hamptonchutneyco,5.0,1.0
240192,7.0,hamptonchutneyco,6.0,1.0
243975,7.0,hamptonchutneyco,1.0,1.0
217652,7.0,hamptonsgourmet,0.0,1.0
243976,7.0,hamptonsgourmet,1.0,1.0
217653,7.0,hanbat,0.0,1.0
222243,7.0,hanbat,2.0,1.0
224916,7.0,hanbat,3.0,1.0
236841,7.0,hanbat,5.0,1.0
240193,7.0,hanbat,6.0,1.0
243977,7.0,hanbat,1.0,1.0
217655,7.0,hanasushi,0.0,1.0
243978,7.0,hanasushi,1.0,1.0
217657,7.0,hanami,0.0,1.0
222244,7.0,hanami,2.0,1.0
241718,7.0,hanami,7.0,1.0
243979,7.0,hanami,1.0,1.0
217659,7.0,hanciturkishcuisine,0.0,1.0
236842,7.0,hanciturkishcuisine,5.0,1.0
240194,7.0,hanciturkishcuisine,6.0,1.0
241719,7.0,hanciturkishcuisine,7.0,1.0
217662,7.0,hanesushi,0.0,1.0
222245,7.0,hanesushi,2.0,1.0
217665,7.0,hangawi,0.0,1.0
222246,7.0,hangawi,2.0,1.0
224919,7.0,hangawi,3.0,1.0
230032,7.0,hangawi,4.0,1.0
236843,7.0,hangawi,5.0,1.0
238957,7.0,hangawi,8.0,1.0
243982,7.0,hangawi,1.0,1.0
217667,7.0,hanrattysrestaurant,0.0,1.0
224920,7.0,hanrattysrestaurant,3.0,1.0
230034,7.0,hanrattysrestaurant,4.0,1.0
217670,7.0,happyfamily,0.0,1.0
230042,7.0,happyfamily,4.0,1.0
137382,4.0,happytaco,4.0,0.0
217673,7.0,happytaco,0.0,1.0
234540,7.0,happytaco,11.0,1.0
217679,7.0,harbourlights,0.0,1.0
222247,7.0,harbourlights,2.0,1.0
224924,7.0,harbourlights,3.0,1.0
230049,7.0,harbourlights,4.0,1.0
217684,7.0,harrietskitchen,0.0,1.0
222249,7.0,harrietskitchen,2.0,1.0
224930,7.0,harrietskitchen,3.0,1.0
230057,7.0,harrietskitchen,4.0,1.0
243991,7.0,harrietskitchen,1.0,1.0
217686,7.0,harrycipriani,0.0,1.0
222250,7.0,harrycipriani,2.0,1.0
224931,7.0,harrycipriani,3.0,1.0
236845,7.0,harrycipriani,5.0,1.0
240195,7.0,harrycipriani,6.0,1.0
217687,7.0,harrysburritos,0.0,1.0
224933,7.0,harrysburritos,3.0,1.0
230062,7.0,harrysburritos,4.0,1.0
243993,7.0,harrysburritos,1.0,1.0
217688,7.0,harryscafe,0.0,1.0
243994,7.0,harryscafe,1.0,1.0
217689,7.0,harryssteak,0.0,1.0
222251,7.0,harryssteak,2.0,1.0
217695,7.0,haru,0.0,1.0
222252,7.0,haru,2.0,1.0
224936,7.0,haru,3.0,1.0
236851,7.0,haru,5.0,1.0
238958,7.0,haru,8.0,1.0
240199,7.0,haru,6.0,1.0
241721,7.0,haru,7.0,1.0
217696,7.0,harusakebar,0.0,1.0
243996,7.0,harusakebar,1.0,1.0
20654,0.0,hasaki,8.0,0.0
217697,7.0,hasaki,0.0,1.0
236852,7.0,hasaki,5.0,1.0
240200,7.0,hasaki,6.0,1.0
241722,7.0,hasaki,7.0,1.0
243997,7.0,hasaki,1.0,1.0
217698,7.0,hatsuhana,0.0,1.0
222255,7.0,hatsuhana,2.0,1.0
224941,7.0,hatsuhana,3.0,1.0
230069,7.0,hatsuhana,4.0,1.0
236854,7.0,hatsuhana,5.0,1.0
238961,7.0,hatsuhana,8.0,1.0
240201,7.0,hatsuhana,6.0,1.0
241723,7.0,hatsuhana,7.0,1.0
243999,7.0,hatsuhana,1.0,1.0
217699,7.0,hatsuhanapark,0.0,1.0
240202,7.0,hatsuhanapark,6.0,1.0
217700,7.0,havanany,0.0,1.0
224946,7.0,havanany,3.0,1.0
233486,7.0,havanany,9.0,1.0
235285,7.0,havanany,10.0,1.0
217701,7.0,havanaalmadecuba,0.0,1.0
222256,7.0,havanaalmadecuba,2.0,1.0
